Date,Title,Activity Type,Distance,Calories,Time,Avg HR,Max HR,Avg Pace,Best Pace,Aerobic TE,Day_of_Week,Category
2026-03-01 12:14:57,Indoor Cycling Session,Indoor Cycling,0.0,650,00:49:31,152,167,--,--,4.9,Sunday,Indoor Cycling / Performance Replacement
2026-02-28 12:15:01,Indoor Cycling Session,Indoor Cycling,0.0,578,00:56:52,132,163,--,--,2.8,Saturday,Indoor Cycling / Recovery
2026-02-27 11:25:36,Running,Treadmill Running,32.0,"2,515",02:43:22,152,164,5:06,4:35,4.6,Friday,Running / Performance
2026-02-25 11:24:49,Running,Treadmill Running,16.0,"1,249",01:16:54,151,160,4:48,4:35,4.1,Wednesday,Running / Performance
2026-02-22 11:29:36,Running,Treadmill Running,25.0,"1,810",02:11:16,140,147,5:15,4:35,3.5,Sunday,Running / Performance
2026-02-21 12:24:46,Indoor Cycling Session,Indoor Cycling,0.0,558,00:54:58,132,163,--,--,3.4,Saturday,Indoor Cycling / Performance Replacement
2026-02-21 11:07:28,Running,Treadmill Running,12.0,887,01:01:00,143,149,5:05,4:35,3.3,Saturday,Running / Performance
2026-02-19 11:15:27,Running,Treadmill Running,15.0,"1,132",01:16:33,146,156,5:06,4:35,3.9,Thursday,Running / Performance
2026-02-15 08:40:41,Barcelona Half-Marathon,Running,21.1,"1,768",01:28:35,162,173,4:11,3:51,5.0,Sunday,Running / Performance
2026-02-12 11:18:42,Running,Treadmill Running,11.0,836,00:52:15,147,164,4:45,4:35,3.8,Thursday,Running / Performance
2026-02-08 11:10:38,Running,Treadmill Running,24.0,"1,812",02:05:49,146,156,5:14,4:35,4.0,Sunday,Running / Performance
2026-02-07 12:20:50,Indoor Cycling Session,Indoor Cycling,0.0,415,00:42:14,128,165,--,--,3.2,Saturday,Indoor Cycling / Performance Replacement
2026-02-05 11:24:10,Running,Treadmill Running,13.0,"1,048",01:06:07,156,163,5:05,4:35,4.6,Thursday,Running / Performance
2026-02-01 12:24:27,Running,Treadmill Running,23.0,"1,760",01:55:00,148,156,5:00,4:35,4.2,Sunday,Running / Performance
2026-01-31 12:52:17,Running,Treadmill Running,12.0,881,01:01:00,142,149,5:05,4:35,3.1,Saturday,Running / Performance
2026-01-29 11:13:17,Running,Treadmill Running,12.0,"1,011",01:01:00,163,175,5:05,4:35,5.0,Thursday,Running / Performance
2026-01-25 12:21:24,Indoor Cycling Session,Indoor Cycling,0.0,563,00:57:14,128,170,--,--,3.6,Sunday,Indoor Cycling / Performance Replacement
2026-01-24 11:38:57,Running,Treadmill Running,18.0,"1,517",01:15:00,163,170,4:10,4:00,5.0,Saturday,Running / Performance
2026-01-19 10:38:05,Running,Treadmill Running,15.0,"1,287",01:04:10,166,170,4:16,4:02,5.0,Monday,Running / Performance
2026-01-15 11:15:02,Running,Treadmill Running,15.0,"1,256",01:05:00,162,172,4:20,4:05,5.0,Thursday,Running / Performance
2026-01-11 12:13:54,Running,Treadmill Running,12.0,924,01:01:00,149,170,5:05,4:45,4.0,Sunday,Running / Performance
2026-01-10 11:07:53,Running,Treadmill Running,12.0,"1,030",01:01:00,166,174,5:05,4:45,5.0,Saturday,Running / Performance
2025-12-26 11:24:35,Ourense Running,Running,21.0,"1,727",01:42:50,159,185,4:53,3:45,5.0,Friday,Running / Performance
2025-12-24 10:57:27,Ourense Running,Running,21.0,"1,694",01:45:00,156,176,5:00,4:40,5.0,Wednesday,Running / Performance
2025-12-21 12:12:39,Indoor Cycling Session,Indoor Cycling,0.0,757,01:13:31,134,165,--,--,3.7,Sunday,Indoor Cycling / Performance Replacement
2025-12-20 12:12:57,Indoor Cycling Session,Indoor Cycling,0.0,958,01:49:20,114,167,--,--,3.8,Saturday,Indoor Cycling / Performance Replacement
2025-12-19 10:58:34,Running,Treadmill Running,12.0,980,01:01:00,158,166,5:05,4:45,5.0,Friday,Running / Performance
2025-12-11 11:14:23,Running,Treadmill Running,12.0,893,01:01:00,144,167,5:05,4:45,4.9,Thursday,Running / Performance
2025-12-08 12:16:19,Indoor Cycling Session,Indoor Cycling,0.0,471,00:42:19,145,174,--,--,3.8,Monday,Indoor Cycling / Performance Replacement
2025-12-01 10:53:51,Running,Treadmill Running,12.0,868,01:01:00,140,169,5:05,4:45,4.2,Monday,Running / Performance
2025-11-28 15:11:46,Indoor Cycling Session,Indoor Cycling,0.0,918,02:05:44,95,133,--,--,0.9,Friday,Indoor Cycling / Recovery
2025-11-24 11:08:02,Running,Treadmill Running,12.0,955,01:01:00,154,170,5:05,4:45,5.0,Monday,Running / Performance
2025-11-22 12:10:39,Indoor Cycling Session,Indoor Cycling,0.0,484,00:43:42,144,174,--,--,3.9,Saturday,Indoor Cycling / Performance Replacement
2025-11-17 09:49:24,Running,Treadmill Running,12.0,974,01:01:00,157,175,5:05,4:45,5.0,Monday,Running / Performance
2025-11-15 12:13:31,Indoor Cycling Session,Indoor Cycling,0.0,688,01:01:42,145,173,--,--,4.3,Saturday,Indoor Cycling / Performance Replacement
2025-11-09 12:19:40,Indoor Cycling Session,Indoor Cycling,0.0,586,00:54:49,139,182,--,--,4.0,Sunday,Indoor Cycling / Performance Replacement
2025-11-08 12:12:52,Indoor Cycling Session,Indoor Cycling,0.0,498,00:41:51,155,174,--,--,4.5,Saturday,Indoor Cycling / Performance Replacement
2025-11-06 09:48:59,Running,Treadmill Running,12.0,980,01:01:00,158,177,5:05,4:45,4.8,Thursday,Running / Performance
2025-11-02 09:49:26,Running,Treadmill Running,12.0,"1,030",01:01:00,166,183,5:05,4:45,5.0,Sunday,Running / Performance
2025-11-01 12:13:09,Indoor Cycling Session,Indoor Cycling,0.0,545,00:49:38,143,177,--,--,4.3,Saturday,Indoor Cycling / Performance Replacement
2025-10-26 12:12:01,x2 Indoor Cycling Session,Indoor Cycling,0.0,844,01:28:31,124,174,--,--,4.7,Sunday,Indoor Cycling / Performance Replacement
2025-10-05 12:12:52,Indoor Cycling Session,Indoor Cycling,0.0,518,00:43:13,156,170,--,--,4.1,Sunday,Indoor Cycling / Performance Replacement
2025-10-04 12:09:59,Indoor Cycling Session,Indoor Cycling,0.0,648,00:53:03,159,175,--,--,4.7,Saturday,Indoor Cycling / Performance Replacement
2025-10-01 19:50:59,Running,Treadmill Running,12.0,937,01:01:00,151,168,5:05,4:45,3.7,Wednesday,Running / Performance
2025-09-27 12:12:24,Indoor Cycling Session,Indoor Cycling,0.0,550,00:46:48,153,175,--,--,4.6,Saturday,Indoor Cycling / Performance Replacement
2025-09-24 12:12:54,Running,Treadmill Running,12.0,955,01:01:00,154,170,5:05,4:45,4.3,Wednesday,Running / Performance
2025-09-19 11:00:15,Running,Treadmill Running,12.0,825,01:01:00,133,158,5:05,4:45,2.9,Friday,Running / Performance
2025-09-14 12:16:55,Indoor Cycling Session,Indoor Cycling,0.0,577,00:48:47,154,174,--,--,4.6,Sunday,Indoor Cycling / Performance Replacement
2025-09-13 20:25:28,Running,Treadmill Running,12.0,943,01:01:00,152,174,5:05,4:45,4.6,Saturday,Running / Performance
